round,loss,accuracy,recall,precision,f1,noisy_accuracy_0.1,privacy_budget_0.1,noisy_accuracy_1,privacy_budget_1,noisy_accuracy_2,privacy_budget_2,noisy_accuracy_5,privacy_budget_5,noisy_accuracy_10,privacy_budget_10
29,0.11419849097728729,0.9596222499692243,0.9373023125043931,0.9811640055919358,0.9587317564167087,0.9596222499692243,48.44805262605389,0.6750786979230783,4.844805262605389,0.5892847721717109,2.4224026313026945,0.5385839649684329,0.9689610525210778,0.5213671455955542,0.4844805262605389
30,0.11455074697732925,0.9600355239786856,0.9378711257554667,0.9812152048077277,0.9590536851683349,0.9600355239786856,48.44805262605389,0.6783585108066756,4.844805262605389,0.5902520092151311,2.4224026313026945,0.5351722561243691,0.9689610525210778,0.5168123384274484,0.4844805262605389
31,0.11631683260202408,0.9599475933383746,0.9377418900851453,0.9812963678871891,0.9590248729366257,0.9599475933383746,48.44805262605389,0.6778221339007791,4.844805262605389,0.5894342542602395,2.4224026313026945,0.5348029474350632,0.9689610525210778,0.5201712888873257,0.4844805262605389
32,0.11555951833724976,0.9593848372403848,0.9372038330583734,0.9808783821017248,0.9585438749225895,0.9593848372403848,48.44805262605389,0.6745071487610573,4.844805262605389,0.5926437226315882,2.4224026313026945,0.5356558746460792,0.9689610525210778,0.5169881997080703,0.4844805262605389
33,0.11585280299186707,0.9597277667375974,0.9377423676232108,0.9806813154402005,0.9587313029374661,0.9597277667375974,48.44805262605389,0.6758261083657211,4.844805262605389,0.5897332184372966,2.4224026313026945,0.5363505267045354,0.9689610525210778,0.5182983662487031,0.4844805262605389
34,0.11590299010276794,0.9594903540087579,0.9373203801329407,0.9805954181576715,0.9584696793502269,0.9594903540087579,48.44805262605389,0.6748324921302077,4.844805262605389,0.5916588994601059,2.4224026313026945,0.5369660411867119,0.9689610525210778,0.5193711200604962,0.4844805262605389
35,0.11604476720094681,0.958927597910768,0.9363006819263097,0.9805137289636847,0.9578972986128012,0.958927597910768,48.44805262605389,0.6756326609570371,4.844805262605389,0.5887044299456589,2.4224026313026945,0.5350227740358405,0.9689610525210778,0.5168211314914796,0.4844805262605389
36,0.11824668943881989,0.9582153597242495,0.9349962207105065,0.9805696377546318,0.9572408083934709,0.9582153597242495,48.44805262605389,0.6747005961697413,4.844805262605389,0.5888275328420941,2.4224026313026945,0.5371946608515203,0.9689610525210778,0.5200657721189526,0.4844805262605389
37,0.11604681611061096,0.9588044950143327,0.9351659568476999,0.981510556160993,0.9577779580212867,0.9588044950143327,48.44805262605389,0.6739443926630674,4.844805262605389,0.5911576948103336,2.4224026313026945,0.5356998399662346,0.9689610525210778,0.5201273235671702,0.4844805262605389
38,0.11421062797307968,0.959789318185815,0.9373228900818446,0.981351122249659,0.9588318434295694,0.959789318185815,48.44805262605389,0.6761514517348716,4.844805262605389,0.5913423491549865,2.4224026313026945,0.5378717267819144,0.9689610525210778,0.5187643986423509,0.4844805262605389
39,0.11686130613088608,0.9590594938712343,0.9365393715277169,0.9809997613496595,0.9582541333428971,0.9590594938712343,48.44805262605389,0.6751578354993581,4.844805262605389,0.5889154634824051,2.4224026313026945,0.5393225823470447,0.9689610525210778,0.519432671508714,0.4844805262605389
40,0.11778849363327026,0.9583912210048714,0.9357027350066793,0.9802239080798409,0.9574460431654677,0.9583912210048714,48.44805262605389,0.6767581731530169,4.844805262605389,0.5925557919912773,2.4224026313026945,0.5351282908042136,0.9689610525210778,0.5191688795877811,0.4844805262605389
41,0.11574814468622208,0.9598596626980638,0.9377299695427898,0.9810653503278568,0.9589083020532347,0.9598596626980638,48.44805262605389,0.6769428274976699,4.844805262605389,0.590339939855442,2.4224026313026945,0.5366231116894993,0.9689610525210778,0.5190369836273148,0.4844805262605389
42,0.11569441854953766,0.9596750083534108,0.9371688115064345,0.9812538017732392,0.9587047742539665,0.9596662152893798,48.44805262605389,0.6751314563072648,4.844805262605389,0.5902168369590067,2.4224026313026945,0.5363241475124422,0.9689610525210778,0.51867646800204,0.4844805262605389
43,0.11649469286203384,0.9590946661273587,0.9368435842495346,0.9805875216000588,0.9582165696630022,0.9590946661273587,48.44805262605389,0.6771362749063539,4.844805262605389,0.5925997573114328,2.4224026313026945,0.5369132828025254,0.9689610525210778,0.5171992332448165,0.4844805262605389
44,0.1162673681974411,0.9599036280182193,0.9378735672596864,0.9811313814918347,0.9590149200071904,0.9599036280182193,48.44805262605389,0.6753161106519178,4.844805262605389,0.5923535515185622,2.4224026313026945,0.5363856989606598,0.9689610525210778,0.5188875015387862,0.4844805262605389
45,0.11715538799762726,0.9587957019503016,0.9356649015709938,0.9810200129115558,0.9578058311873076,0.9587957019503016,48.44805262605389,0.6758788667499077,4.844805262605389,0.5903839051755975,2.4224026313026945,0.5372298331076447,0.9689610525210778,0.5182192286724232,0.4844805262605389
46,0.1162819191813469,0.9592705274079806,0.9379806934249023,0.9800113488678589,0.9585354936890162,0.9592705274079806,48.44805262605389,0.6765559326803018,4.844805262605389,0.5893551166839597,2.4224026313026945,0.5351282908042136,0.9689610525210778,0.5178499199831174,0.4844805262605389
47,0.11376146972179413,0.9604312118600847,0.9391276953234388,0.9813094367227505,0.9597553122987764,0.9604312118600847,48.44805262605389,0.6754655927404464,4.844805262605389,0.5924854474790285,2.4224026313026945,0.5388565499533967,0.9689610525210778,0.5167771661713241,0.4844805262605389
